job_title,job_group
Kỹ Sư Phần Mềm - Chuyên Viên IT - Công Nghệ Thông Tin,Other
IT Business Development - Chuyên Viên Phát Triển Doanh Nghiệp,Other
Nhân Viên Digtal Marketing Chuyên ( SEO - Google Ads Wopd -Facebook Ads - Tiktok Ads ),Other
Nhân Viên IT,Other
Chuyên Viên Điều Phối Dự Án - Project Coordinator,Other
Back-End Engineer,Other
Chuyên Viên IT Khu Vực Hà Nội,Other
Chuyên Viên An Toàn Bảo Mật Hệ Thống,Other
Nhân Viên Điều Phối Dự Án IT Phần Mềm,Other
Chuyên Viên Triển Khai Phần Mềm ERP,Other
Product Designer,Other
Nhân Viên Nghiệp Vụ Thương Mại Điện Tử,Other
UI/UX Design Manager,Other
Junior Front-End Với Mức Lương Hấp Dẫn,Other
Nodejs Tech Lead,Other
Bridge System Engineer,Other
Test Lead,Other
Network Engineer - HN,Other
Chuyên Viên Khách Hàng Doanh Nghiệp Sme,Other
Chuyên Gia UI UX,Other
System Integration Engineer (Trainee),Other
Technical Leader,Other
Fresher IT Business Development (English),Other
Back-End Java Engineer,Other
"Technical Leader (Typescript, Nestjs, Vue3) - Up To 3000$",Other
Nhân Viên Phân Tích Nghiệp Vụ Phần Mềm (Ba) Upto 30M,Other
Giáng Viên Khoa CNTT,Other
Project Leader (Japanese N3),Other
Cocos Creator Dev,Other
Infra Lead - Pmo (Onsite Tokyo),Other
Front-End Engineer (Onsite Tokyo),Other
Middle/Senior .Net Engineer (.Net Core/Ef Core) - Hybrid,Other
Trưởng Bộ Phận Phát Triển Website,Other
Backend Engineer (Golang/Python),Other
Nhân Viên UI Designer (Lương Từ 15 Triệu),Other
Quản Trị Hệ Thống Junior (Hỗ Trợ Kỹ Thuật),Other
Website Deverloper,Other
Test Lead Up To 2000$,Other
"Kỹ Sư Hệ Thống Mạng - Networking, System IT (Cisco, Aruba, H3C, Hpe, Dell, Juniper)",Other
Operation Fresher,Other
Nhân Viên Digtal Marketing ( SEO - Google Ads Wopd -Facebook Ads - Tiktok Ads )- Làm Việc Tại Quận 2,Other
Nhân Viên 3D Game Artist,Other
Kỹ Sư Giải Pháp Hệ Thống Mạng Và Điện Thoại,Other
Nhân Viên PHP,Other
Software Test Lead,Other
Machine Learning Researcher,Other
Nhân Viên IT,Other
Nhân Viên Kỹ Thuật Phần Mềm - Không Yêu Cầu Kinh Nghiệm,Other
Nhân Viên Marketing Online (Fb Ads) - Lương Cứng 9 - 15Tr + Thưởng,Other
Front-End Engineer (Vuejs/Reactjs),Other
Chuyên Viên Hạ Tầng CNTT - IT Infrastructure,Other
"Nhân Viên Bảo Hành, Sửa Chữa Máy Tính - IT (CNTT Phần Cứng)",Other
IT Fullstack,Other
